week,range,new_user,old_user,total_user
1,2018-09-23 - 2018-09-29,1074,0,1074
2,2018-09-30 - 2018-10-06,479,1074,1553
3,2018-10-07 - 2018-10-13,353,1553,1906
4,2018-10-14 - 2018-10-20,240,1906,2146
5,2018-10-21 - 2018-10-27,163,2146,2309
6,2018-10-28 - 2018-11-03,266,2309,2575
7,2018-11-04 - 2018-11-10,153,2575,2728
8,2018-11-11 - 2018-11-17,418,2728,3146
9,2018-11-18 - 2018-11-24,1773,3146,4919
10,2018-11-25 - 2018-12-01,271,4919,5190
11,2018-12-02 - 2018-12-08,152,5190,5342
12,2018-12-09 - 2018-12-15,88,5342,5430
13,2018-12-16 - 2018-12-22,116,5430,5546
14,2018-12-23 - 2018-12-29,62,5546,5608
15,2018-12-30 - 2019-01-05,54,5608,5662
16,2019-01-06 - 2019-01-12,67,5662,5729
17,2019-01-13 - 2019-01-19,75,5729,5804
18,2019-01-20 - 2019-01-26,85,5804,5889
19,2019-01-27 - 2019-02-02,79,5889,5968
